nom;CaO;Fe2O3;TiO2;K2O;SiO2;Al2O3;MgO;MnO;Na2O;P2O5;Zr;Sr;Rb;Zn;Cr;Ni;La;Ba;V;Ce;Y;Th;Pb;Cu
TWM 24; 5.83; 5.12;0.491; 1.83;69.11;15.40; 1.13;0.0299; 0.85; 0.08;.0127;.0113;.0093;.0076;.0061;.0071;.0057;.0371;.0093;.0070;;;;
TWM 25; 3.01; 5.60;0.577; 1.40;70.57;16.59; 1.02;0.0211; 0.91; 0.20;.0176;.0090;.0084;.0076;.0065;.0067;.0052;.0373;.0091;.0060;;;;
TWM 26; 3.75; 5.55;0.627; 1.63;70.17;15.76; 1.31;0.0318; 0.80; 0.24;.0228;.0126;.0088;.0084;.0080;.0069;.0046;.0341;.0097;.0070;;;;
TWM 27; 1.90; 5.62;0.509; 1.84;72.33;15.89; 0.82;0.0185; 0.89; 0.06;.0146;.0081;.0088;.0067;.0058;.0071;.0051;.0353;.0088;.0072;;;;
TWM 28; 3.15; 5.64;0.553; 1.69;70.47;16.57; 1.01;0.0270; 0.71; 0.07;.0150;.0092;.0092;.0075;.0065;.0069;.0045;.0331;.0101;.0065;;;;
TWM 29; 3.08; 5.15;0.523; 2.31;70.75;15.93; 1.03;0.0247; 0.91; 0.18;.0135;.0103;.0102;.0083;.0067;.0080;.0041;.0332;.0097;.0050;;;;
TWM 30; 2.86; 5.14;0.474; 2.08;71.60;15.79; 0.89;0.0209; 0.93; 0.10;.0117;.0088;.0095;.0072;.0062;.0069;.0041;.0338;.0087;.0055;;;;
TWM 54;15.03; 6.77;0.655; 2.83;53.91;16.59; 3.14;0.1089; 0.51; 0.21;.0124;.0391;.0141;.0090;.0124;.0074;.0038;.0343;.0096;.0079;.0022;.0000;.0759;.0048
TWM 55;17.90; 5.68;0.620; 2.34;54.28;15.56; 2.62;0.0745; 0.56; 0.16;.0144;.0342;.0110;.0083;.0101;.0058;.0037;.0314;.0102;.0077;.0025;.0000;.0659;.0049
TWM 56;17.95; 5.01;0.562; 2.19;56.20;14.28; 2.55;0.0750; 0.52; 0.47;.0122;.0397;.0097;.0083;.0102;.0053;.0028;.0308;.0069;.0074;.0022;.0000;.0408;.0049
TWM 57;16.92; 5.66;0.625; 2.10;54.97;15.87; 2.76;0.0717; 0.53; 0.17;.0144;.0354;.0096;.0077;.0110;.0061;.0039;.0324;.0097;.0079;.0021;.0000;.1643;.0116
TWM 58;17.91; 5.40;0.572; 2.27;56.56;13.96; 2.27;0.0720; 0.59; 0.17;.0165;.0286;.0105;.0075;.0103;.0050;.0029;.0313;.0093;.0080;.0023;.0000;.0901;.0058
TWM 59;11.81; 6.45;0.725; 3.12;57.19;16.46; 2.86;0.0925; 0.76; 0.18;.0139;.0305;.0158;.0101;.0149;.0106;.0035;.0349;.0106;.0077;.0020;.0000;.1883;.0083
TWM 60;14.18; 6.09;0.647; 2.41;56.92;15.21; 3.39;0.0778; 0.59; 0.22;.0165;.0304;.0111;.0093;.0109;.0064;.0034;.0320;.0090;.0086;.0024;.0000;.1199;.0074
TWM 61;11.73; 5.01;0.569; 2.28;62.45;14.72; 1.87;0.0558; 0.81; 0.19;.0143;.0279;.0104;.0067;.0087;.0054;.0031;.0382;.0086;.0092;.0024;.0000;.1649;.0058
